Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
314675 PALMOPOLIS;7,51;261;3474
314690 PAPAGAIOS;5,77;392;6790
314700 PARACATU;7,51;3122;41560
314710 PARA DE MINAS;4,92;2228;45289
314720 PARAGUACU;3,7;390;10532
314730 PARAISOPOLIS;6,01;581;9661
314740 PARAOPEBA;8,7;1020;11723
314750 PASSABEM;4,29;35;816
314760 PASSA QUATRO;5,61;422;7517
314770 PASSA TEMPO;3,4;125;3681
314780 PASSA-VINTE;2,8;29;1037
314790 PASSOS;4,92;2559;52016
314795 PATIS;17,84;355;1990
314800 PATOS DE MINAS;5,74;4241;73830
314810 PATROCINIO;4,99;2135;42774
314820 PATROCINIO DO MURIAE;5,66;144;2544
314830 PAULA CANDIDO;2,61;102;3901
314840 PAULISTAS;5,51;123;2233
314850 PAVAO;10,11;342;3383
314860 PECANHA;4,98;380;7637
314870 PEDRA AZUL;10,71;915;8543
314875 PEDRA BONITA;0,48;16;3312
314880 PEDRA DO ANTA;4,94;74;1497
314890 PEDRA DO INDAIA;2,96;66;2231
314900 PEDRA DOURADA;7,31;73;999
314910 PEDRALVA;4,7;249;5298
314915 PEDRAS DE MARIA DA CRUZ;8,58;325;3789
314920 PEDRINOPOLIS;4,7;81;1724
314930 PEDRO LEOPOLDO;8,59;2583;30078
314940 PEDRO TEIXEIRA;2,26;16;707
314950 PEQUERI;2,35;36;1531
314960 PEQUI;4,53;95;2097
314970 PERDIGAO;1,3;67;5152
314980 PERDIZES;2,65;196;7391
314990 PERDOES;5,48;522;9519
314995 PERIQUITO;10,65;263;2469
315000 PESCADOR;10,16;144;1418
315010 PIAU;3,7;50;1352
315015 PIEDADE DE CARATINGA;6,65;213;3202
315020 PIEDADE DE PONTE NOVA;9,66;163;1687
315030 PIEDADE DO RIO GRANDE;3,15;67;2128
315040 PIEDADE DOS GERAIS;3,56;80;2247
315050 PIMENTA;2,38;106;4456
315053 PINGO-D'AGUA;9,21;161;1749
315057 PINTOPOLIS;5,91;156;2639
315060 PIRACEMA;2,43;68;2796
315070 PIRAJUBA;3,74;83;2221
315080 PIRANGA;4,68;293;6256
315090 PIRANGUCU;3,96;99;2503
315100 PIRANGUINHO;5,67;219;3863
315110 PIRAPETINGA;5,65;270;4776
315120 PIRAPORA;11,03;2833;25689
315130 PIRAUBA;2,97;161;5423
315140 PITANGUI;5,59;714;12773
315150 PIUMHI;3,77;649;17225
315160 PLANURA;5,45;285;5234
315170 POCO FUNDO;2,69;235;8752
315180 POCOS DE CALDAS;5,9;4951;83878
315190 POCRANE;2,94;111;3774
315200 POMPEU;6,15;883;14367
315210 PONTE NOVA;8,69;2488;28634
315213 PONTO CHIQUE;11,48;230;2003
315217 PONTO DOS VOLANTES;9,29;429;4617
315220 PORTEIRINHA;7,8;1327;17004
315230 PORTO FIRME;5,49;257;4679
315240 POTE;7,46;485;6500
315250 POUSO ALEGRE;5,58;3928;70443
315260 POUSO ALTO;3,27;96;2932
315270 PRADOS;4,49;169;3766
315280 PRATA;3,6;477;13237
315290 PRATAPOLIS;5,6;232;4145
315300 PRATINHA;3,58;57;1593
315310 PRESIDENTE BERNARDES;2,33;54;2317
315320 PRESIDENTE JUSCELINO;5,62;97;1725
315330 PRESIDENTE KUBITSCHEK;8,57;84;980
315340 PRESIDENTE OLEGARIO;5,18;478;9219
315350 ALTO JEQUITIBA;2,73;117;4278
315360 PRUDENTE DE MORAIS;10,71;493;4605
315370 QUARTEL GERAL;3,7;51;1377
315380 QUELUZITO;0,95;7;738
315390 RAPOSOS;7,24;500;6905
315400 RAUL SOARES;4,3;462;10740
315410 RECREIO;6,97;284;4076
315415 REDUTO;7,04;226;3211
315420 RESENDE COSTA;1,48;87;5885
315430 RESPLENDOR;7,06;467;6618
315440 RESSAQUINHA;6;131;2185
315445 RIACHINHO;4,52;142;3144
315450 RIACHO DOS MACHADOS;10,43;421;4038
315460 RIBEIRAO DAS NEVES;7,72;11319;146644
315470 RIBEIRAO VERMELHO;9,69;178;1837
315480 RIO ACIMA;6,05;280;4630
315490 RIO CASCA;11,27;696;6174
315500 RIO DOCE;10,83;122;1126
315510 RIO DO PRADO;15,12;312;2063
315520 RIO ESPERA;8,78;214;2437
315530 RIO MANSO;2,72;77;2830
315540 RIO NOVO;7,57;299;3949
315550 RIO PARANAIBA;2,5;154;6171
315560 RIO PARDO DE MINAS;4,35;556;12786
315570 RIO PIRACICABA;9,42;610;6478
315580 RIO POMBA;4,35;354;8145
315590 RIO PRETO;6,65;150;2254
315600 RIO VERMELHO;4,8;253;5273
315610 RITAPOLIS;5,21;102;1957
315620 ROCHEDO DE MINAS;2,89;33;1141
315630 RODEIRO;1,93;70;3636
315640 ROMARIA;2,93;51;1740
315645 ROSARIO DA LIMEIRA;2,89;57;1975
315650 RUBELITA;8,83;240;2719
315660 RUBIM;10,87;466;4287
315670 SABARA;7,43;4651;62618
315680 SABINOPOLIS;6,22;467;7503
315690 SACRAMENTO;4,95;682;13765
315700 SALINAS;5,03;926;18423
315710 SALTO DA DIVISA;17,01;438;2575
315720 SANTA BARBARA;11,12;1511;13584
315725 SANTA BARBARA DO LESTE;5,51;201;3648
315727 SANTA BARBARA DO MONTE VERDE;3,77;35;929
315730 SANTA BARBARA DO TUGURIO;4,56;89;1953
315733 SANTA CRUZ DE MINAS;7,67;290;3781
315737 SANTA CRUZ DE SALINAS;8,91;189;2121
315740 SANTA CRUZ DO ESCALVADO;7,66;161;2102
315750 SANTA EFIGENIA DE MINAS;10,68;177;1658
315760 SANTA FE DE MINAS;7,93;145;1828
315765 SANTA HELENA DE MINAS;5,43;109;2009
315770 SANTA JULIANA;3,05;175;5733
315780 SANTA LUZIA;7,16;7151;99836
315790 SANTA MARGARIDA;5,49;334;6080
315800 SANTA MARIA DE ITABIRA;7,91;346;4374
315810 SANTA MARIA DO SALTO;8,13;204;2509
315820 SANTA MARIA DO SUACUI;8,32;488;5867
315830 SANTANA DA VARGEM;4,19;165;3935
315840 SANTANA DE CATAGUASES;6,27;99;1580
315850 SANTANA DE PIRAPAMA;1,58;55;3477
315860 SANTANA DO DESERTO;7,37;119;1614
315870 SANTANA DO GARAMBEU;6,98;69;988
315880 SANTANA DO JACARE;4,47;97;2170
315890 SANTANA DO MANHUACU;4,06;164;4041
315895 SANTANA DO PARAISO;10,37;1333;12855
315900 SANTANA DO RIACHO;1,78;29;1630
315910 SANTANA DOS MONTES;3,81;69;1813
315920 SANTA RITA DE CALDAS;2,97;151;5087
315930 SANTA RITA DE JACUTINGA;5,61;141;2514
315935 SANTA RITA DE MINAS;6,16;171;2774
315940 SANTA RITA DE IBITIPOCA;3,9;55;1411
315950 SANTA RITA DO ITUETO;2,01;49;2432
315960 SANTA RITA DO SAPUCAI;4,52;897;19839
315970 SANTA ROSA DA SERRA;1,66;29;1748
315980 SANTA VITORIA;4,5;421;9356
315990 SANTO ANTONIO DO AMPARO;5,11;409;8002
316000 SANTO ANTONIO DO AVENTUREIRO;1,29;21;1629
316010 SANTO ANTONIO DO GRAMA;7,09;129;1820
316020 SANTO ANTONIO DO ITAMBE;2,02;31;1536
316030 SANTO ANTONIO DO JACINTO;7,62;393;5158
316040 SANTO ANTONIO DO MONTE;2,07;299;14429
316045 SANTO ANTONIO DO RETIRO;13,61;292;2146
316050 SANTO ANTONIO DO RIO ABAIXO;5,67;43;759
316060 SANTO HIPOLITO;6,33;82;1296
316070 SANTOS DUMONT;10,78;2042;18944
316080 SAO BENTO ABADE;4,13;100;2422
316090 SAO BRAS DO SUACUI;10,09;138;1368
316095 SAO DOMINGOS DAS DORES;4,16;81;1949
316100 SAO DOMINGOS DO PRATA;5,25;424;8074
316105 SAO FELIX DE MINAS;6,61;88;1331
316110 SAO FRANCISCO;8,31;1807;21734
316120 SAO FRANCISCO DE PAULA;3,13;104;3324
316130 SAO FRANCISCO DE SALES;6;162;2698
316140 SAO FRANCISCO DO GLORIA;5,69;139;2441
316150 SAO GERALDO;2,82;129;4572
316160 SAO GERALDO DA PIEDADE;7,17;126;1757
316165 SAO GERALDO DO BAIXIO;3,31;45;1358
316170 SAO GONCALO DO ABAETE;4,07;111;2725
316180 SAO GONCALO DO PARA;3,94;221;5612
316190 SAO GONCALO DO RIO ABAIXO;10,23;445;4352
316200 SAO GONCALO DO SAPUCAI;5,2;601;11561
316210 SAO GOTARDO;3,3;551;16701
316220 SAO JOAO BATISTA DO GLORIA;7,08;247;3487
316225 SAO JOAO DA LAGOA;5,69;129;2268
316230 SAO JOAO DA MATA;3,54;49;1386
316240 SAO JOAO DA PONTE;6,61;722;10929
316245 SAO JOAO DAS MISSOES;12,63;500;3958
316250 SAO JOAO DEL REI;6,3;2481;39396
316255 SAO JOAO DO MANHUACU;1,49;74;4979
316257 SAO JOAO DO MANTENINHA;9,65;202;2093
316260 SAO JOAO DO ORIENTE;5,61;179;3191
316265 SAO JOAO DO PACUI;5,79;105;1813
316270 SAO JOAO DO PARAISO;8,89;1031;11603
316280 SAO JOAO EVANGELISTA;6,77;414;6116
316290 SAO JOAO NEPOMUCENO;3,79;487;12838
316292 SAO JOAQUIM DE BICAS;7,02;766;10904
316294 SAO JOSE DA BARRA;3,64;114;3134
316295 SAO JOSE DA LAPA;7,75;754;9723
316300 SAO JOSE DA SAFIRA;4,21;71;1688
316310 SAO JOSE DA VARGINHA;3,92;83;2116
316320 SAO JOSE DO ALEGRE;6,81;137;2011
316330 SAO JOSE DO DIVINO;11,5;186;1618
316340 SAO JOSE DO GOIABAL;6,63;161;2429
316350 SAO JOSE DO JACURI;5,98;161;2691
316360 SAO JOSE DO MANTIMENTO;11,4;124;1088
316370 SAO LOURENCO;6,51;1339;20558
316380 SAO MIGUEL DO ANTA;2,61;76;2907
316390 SAO PEDRO DA UNIAO;2,39;68;2851
316400 SAO PEDRO DOS FERROS;7,34;264;3596
316410 SAO PEDRO DO SUACUI;8,22;173;2104
316420 SAO ROMAO;6,81;315;4628
316430 SAO ROQUE DE MINAS;2,23;80;3585
316440 SAO SEBASTIAO DA BELA VISTA;3,4;83;2438
316443 SAO SEBASTIAO DA VARGEM ALEGRE;6,13;83;1355
316447 SAO SEBASTIAO DO ANTA;6,32;160;2531
316450 SAO SEBASTIAO DO MARANHAO;3,97;153;3856
316460 SAO SEBASTIAO DO OESTE;2,26;67;2965
316470 SAO SEBASTIAO DO PARAISO;4,05;1371;33815
316480 SAO SEBASTIAO DO RIO PRETO;5,64;43;762
316490 SAO SEBASTIAO DO RIO VERDE;5,38;49;911
316500 SAO TIAGO;2,64;127;4813
316510 SAO TOMAS DE AQUINO;3,38;123;3643
316520 SAO THOME DAS LETRAS;3,64;131;3601
316530 SAO VICENTE DE MINAS;4,18;136;3254
316540 SAPUCAI-MIRIM;4,59;135;2939
316550 SARDOA;7,55;183;2424
316553 SARZEDO;7,63;1003;13144
316555 SETUBINHA;4,44;179;4035
316556 SEM-PEIXE;1,68;24;1432
316557 SENADOR AMARAL;1,52;39;2569
316560 SENADOR CORTES;5,26;48;912
316570 SENADOR FIRMINO;2,9;77;2656
316580 SENADOR JOSE BENTO;3,29;34;1035
316590 SENADOR MODESTINO GONCALVES;5,1;106;2079
316600 SENHORA DE OLIVEIRA;3,84;84;2186
316610 SENHORA DO PORTO;3,91;59;1508
316620 SENHORA DOS REMEDIOS;7,31;391;5349
316630 SERICITA;1,11;36;3251
316640 SERITINGA;7,24;66;912
316650 SERRA AZUL DE MINAS;6,01;79;1315
316660 SERRA DA SAUDADE;-;-;397
316670 SERRA DOS AIMORES;9,02;320;3547
316680 SERRA DO SALITRE;3;169;5630
316690 SERRANIA;1,99;68;3421
316695 SERRANOPOLIS DE MINAS;2,53;50;1973
316700 SERRANOS;3,46;28;809
316710 SERRO;7,38;682;9243
316720 SETE LAGOAS;8,21;9457;115173
316730 SILVEIRANIA;5,9;54;915
316740 SILVIANOPOLIS;3,27;103;3146
316750 SIMAO PEREIRA;13,61;143;1051
316760 SIMONESIA;2,52;230;9118
316770 SOBRALIA;7,51;170;2264
316780 SOLEDADE DE MINAS;5,93;166;2801
316790 TABULEIRO;5,42;98;1809
316800 TAIOBEIRAS;5,46;804;14737
316805 TAPARUBA;3,35;44;1312
316810 TAPIRA;3,36;75;2235
316820 TAPIRAI;2,52;24;954
316830 TAQUARACU DE MINAS;5,17;103;1991
316840 TARUMIRIM;5,89;319;5412
316850 TEIXEIRAS;6,16;306;4966
316860 TEOFILO OTONI;9,29;5626;60547
316870 TIMOTEO;11,91;4667;39202
316880 TIRADENTES;2,84;105;3693
316890 TIROS;1,93;67;3469
316900 TOCANTINS;4,9;382;7799
316905 TOCOS DO MOJI;2,71;66;2433
316910 TOLEDO;2,1;65;3100
316920 TOMBOS;9,3;409;4398
316930 TRES CORACOES;9,5;3448;36304
316935 TRES MARIAS;8,16;1110;13607
316940 TRES PONTAS;5,77;1631;28267
316950 TUMIRITINGA;8,86;240;2708
316960 TUPACIGUARA;7,54;906;12014
316970 TURMALINA;6,5;583;8967
316980 TURVOLANDIA;2,31;60;2603
316990 UBA;3,86;1943;50400
317000 UBAI;10,35;513;4956
317005 UBAPORANGA;6,83;360;5269
317010 UBERABA;5,31;8487;159729
317020 UBERLANDIA;5,16;17144;331961
317030 UMBURATIBA;7,99;84;1051
317040 UNAI;5,77;2366;41039
317043 UNIAO DE MINAS;8,19;166;2026
317047 URUANA DE MINAS;7,59;96;1265
317050 URUCANIA;8,77;414;4722
317052 URUCUIA;9,98;518;5189
317057 VARGEM ALEGRE;11,91;293;2461
317060 VARGEM BONITA;1,25;14;1121
317065 VARGEM GRANDE DO RIO PARDO;10,47;246;2349
317070 VARGINHA;6,62;4321;65306
317075 VARJAO DE MINAS;8,16;254;3113
317080 VARZEA DA PALMA;9,97;1598;16036
317090 VARZELANDIA;7,34;559;7619
317100 VAZANTE;7,55;769;10192
317103 VERDELANDIA;10,3;321;3118
317107 VEREDINHA;6,09;178;2922
317110 VERISSIMO;9,16;144;1572
317115 VERMELHO NOVO;3,02;63;2085
317120 VESPASIANO;7,78;4052;52064
317130 VICOSA;6,32;2385;37752
317140 VIEIRAS;3,39;50;1475
317150 MATHIAS LOBATO;15,56;164;1054
317160 VIRGEM DA LAPA;10,77;624;5794
317170 VIRGINIA;2,07;79;3821
317180 VIRGINOPOLIS;8,09;362;4477
317190 VIRGOLANDIA;5,99;145;2422
317200 VISCONDE DO RIO BRANCO;5,11;960;18781
317210 VOLTA GRANDE;6,79;144;2121
317220 WENCESLAU BRAZ;2,16;22;1017
320010 AFONSO CLAUDIO;3,78;622;16444
320013 AGUIA BRANCA;3,51;187;5329
320016 AGUA DOCE DO NORTE;4,65;236;5074
320020 ALEGRE;5,44;837;15379
320030 ALFREDO CHAVES;2,95;234;7939
320035 ALTO RIO NOVO;6,98;224;3210
320040 ANCHIETA;8,16;1008;12348
320050 APIACA;5,86;206;3514
320060 ARACRUZ;9,27;3882;41876
320070 ATILIO VIVACQUA;5,52;257;4654
320080 BAIXO GUANDU;7,71;1073;13926
320090 BARRA DE SAO FRANCISCO;7,02;1337;19049
320100 BOA ESPERANCA;6,58;492;7474
320110 BOM JESUS DO NORTE;6,18;266;4306
320115 BREJETUBA;1,41;91;6435
320120 CACHOEIRO DE ITAPEMIRIM;7,77;7309;94009
320130 CARIACICA;8,34;14163;169752
320140 CASTELO;2,99;563;18852
320150 COLATINA;5,88;3569;60745
320160 CONCEICAO DA BARRA;11,44;1455;12724
320170 CONCEICAO DO CASTELO;4,24;272;6411
320180 DIVINO DE SAO LOURENCO;2,76;63;2285
320190 DOMINGOS MARTINS;1,66;320;19305
320200 DORES DO RIO PRETO;2,93;86;2932
320210 ECOPORANGA;6,71;690;10285
320220 FUNDAO;7,03;594;8446
320225 GOVERNADOR LINDENBERG;1,66;91;5488
320230 GUACUI;6,43;881;13712
320240 GUARAPARI;8,57;4394;51300
320245 IBATIBA;4,05;451;11134
320250 IBIRACU;7,53;430;5708
320255 IBITIRAMA;4,62;207;4479
320260 ICONHA;3,9;285;7300
320265 IRUPI;2,02;127;6296
320270 ITAGUACU;2,77;219;7898
320280 ITAPEMIRIM;7,24;932;12874
320290 ITARANA;1,75;116;6628
320300 IUNA;2,07;283;13642
320305 JAGUARE;8,5;1085;12764
320310 JERONIMO MONTEIRO;5,73;279;4866
320313 JOAO NEIVA;7,39;551;7451
320316 LARANJA DA TERRA;0,96;54;5633
320320 LINHARES;7,75;5676;73202
320330 MANTENOPOLIS;6,86;403;5876
320332 MARATAIZES;8,54;1253;14680
320334 MARECHAL FLORIANO;3,34;262;7836
320335 MARILANDIA;3,47;215;6191
320340 MIMOSO DO SUL;3,59;474;13202
320350 MONTANHA;6,27;550;8766
320360 MUCURICI;9,2;236;2565
320370 MUNIZ FREIRE;4,28;379;8850
320380 MUQUI;8,47;584;6891
320390 NOVA VENECIA;5,18;1245;24041
320400 PANCAS;5,57;537;9649
320405 PEDRO CANARIO;9,64;1046;10847
320410 PINHEIROS;6,35;758;11945
320420 PIUMA;7,77;695;8943
320425 PONTO BELO;13,08;349;2668
320430 PRESIDENTE KENNEDY;8,56;391;4567
320435 RIO BANANAL;2,66;252;9485
320440 RIO NOVO DO SUL;6,38;357;5599
320450 SANTA LEOPOLDINA;4,36;258;5922
320455 SANTA MARIA DE JETIBA;1,2;248;20731
320460 SANTA TERESA;2,47;308;12493
320465 SAO DOMINGOS DO NORTE;5,46;221;4049
320470 SAO GABRIEL DA PALHA;4,14;710;17138
320480 SAO JOSE DO CALCADO;6,43;316;4911
320490 SAO MATEUS;9,18;4989;54340
320495 SAO ROQUE DO CANAA;1,56;93;5974
320500 SERRA;9,47;19486;205681
320501 SOORETAMA;9,53;1089;11422
320503 VARGEM ALTA;3,59;361;10061
320506 VENDA NOVA DO IMIGRANTE;2,95;333;11283
320510 VIANA;9,07;2719;29977
320515 VILA PAVAO;2,49;129;5180
320517 VILA VALERIO;2,18;162;7428
320520 VILA VELHA;6,88;14988;217896
320530 VITORIA;6,82;11974;175571
330010 ANGRA DOS REIS;8,19;6672;81510
330015 APERIBE;4,19;206;4912
330020 ARARUAMA;10,43;5270;50526
330022 AREAL;9,55;527;5518
330023 ARMACAO DOS BUZIOS;5,98;851;14240
330025 ARRAIAL DO CABO;10,3;1410;13686
330030 BARRA DO PIRAI;9,88;4393;44447
330040 BARRA MANSA;8,47;7235;85457
330045 BELFORD ROXO;9,93;20908;210530
330050 BOM JARDIM;3,32;429;12925
330060 BOM JESUS DO ITABAPOANA;8,93;1452;16267
330070 CABO FRIO;9,23;8455;91568
330080 CACHOEIRAS DE MACACU;9,72;2566;26410
330090 CAMBUCI;7,42;503;6780
330093 CARAPEBUS;12,12;824;6797
330095 COMENDADOR LEVY GASPARIAN;10,7;432;4038
330100 CAMPOS DOS GOYTACAZES;10,17;20970;206194
330110 CANTAGALO;3,59;360;10015
330115 CARDOSO MOREIRA;8,26;426;5160
330120 CARMO;7,71;617;7999
330130 CASIMIRO DE ABREU;8,15;1493;18312
330140 CONCEICAO DE MACABU;9,74;1032;10592
330150 CORDEIRO;6,37;656;10296
330160 DUAS BARRAS;3,73;215;5770
330170 DUQUE DE CAXIAS;10,79;42913;397535
330180 ENGENHEIRO PAULO DE FRONTIN;12,82;785;6121
330185 GUAPIMIRIM;12,65;3136;24794
330187 IGUABA GRANDE;13,48;1349;10009
330190 ITABORAI;11,05;11678;105640
330200 ITAGUAI;11,81;6018;50963
330205 ITALVA;8,2;544;6633
330210 ITAOCARA;7,23;821;11356
330220 ITAPERUNA;6,81;3163;46448
330225 ITATIAIA;7,77;1127;14496
330227 JAPERI;10,92;4188;38366
330230 LAJE DO MURIAE;10,62;368;3465
330240 MACAE;7,2;7883;109433
330245 MACUCO;8,33;190;2282
330250 MAGE;11,32;11491;101520
330260 MANGARATIBA;7,31;1271;17395
330270 MARICA;7,71;4701;60999
330280 MENDES;10,27;904;8800
330285 MESQUITA;10,11;7972;78824
330290 MIGUEL PEREIRA;9,36;1116;11917
330300 MIRACEMA;9,75;1261;12934
330310 NATIVIDADE;7,63;535;7008
330320 NILOPOLIS;9,78;7108;72709
330330 NITEROI;6,22;15529;249560
330340 NOVA FRIBURGO;3,7;3631;98069
330350 NOVA IGUACU;10,69;38428;359633
330360 PARACAMBI;9,53;1831;19211
330370 PARAIBA DO SUL;8,66;1618;18684
330380 PARATY;4,53;840;18526
330385 PATY DO ALFERES;6,05;800;13217
330390 PETROPOLIS;6,67;9999;149924
330395 PINHEIRAL;10,5;976;9298
330400 PIRAI;9,38;1095;11672
330410 PORCIUNCULA;10,86;886;8160
330411 PORTO REAL;10,15;880;8670
330412 QUATIS;6,94;424;6107
330414 QUEIMADOS;11,22;6810;60674
330415 QUISSAMA;11,42;1102;9653
330420 RESENDE;7,88;4846;61505
330430 RIO BONITO;8,72;2287;26220
330440 RIO CLARO;4,63;374;8082
330450 RIO DAS FLORES;5,42;219;4037
330452 RIO DAS OSTRAS;8,23;4475;54351
330455 RIO DE JANEIRO;7,1;221666;3123498
330460 SANTA MARIA MADALENA;7,44;362;4864
330470 SANTO ANTONIO DE PADUA;6,21;1240;19973
330475 SAO FRANCISCO DE ITABAPOANA;9,96;1735;17412
330480 SAO FIDELIS;4,87;799;16422
330490 SAO GONCALO;9,85;48496;492150
330500 SAO JOAO DA BARRA;7,35;1119;15224
330510 SAO JOAO DE MERITI;9,13;19787;216808
330513 SAO JOSE DE UBA;5,4;176;3261
330515 SAO JOSE DO VALE DO RIO PRETO;6,11;651;10650
330520 SAO PEDRO DA ALDEIA;10,35;4298;41511
330530 SAO SEBASTIAO DO ALTO;3,66;144;3933
330540 SAPUCAIA;5,07;390;7696
330550 SAQUAREMA;10,19;3463;33983
330555 SEROPEDICA;10,85;3954;36428
330560 SILVA JARDIM;11,36;1089;9585
330570 SUMIDOURO;1,49;129;8666
330575 TANGUA;10,49;1439;13721
330580 TERESOPOLIS;6,72;5441;80949
330590 TRAJANO DE MORAES;4,76;225;4729
330600 TRES RIOS;9;3223;35814
330610 VALENCA;8,27;2861;34590
330615 VARRE-SAI;8,03;373;4644
330620 VASSOURAS;7,14;1172;16422
330630 VOLTA REDONDA;8,1;10096;124636
350010 ADAMANTINA;5,92;1045;17643
350020 ADOLFO;6,42;114;1777
350030 AGUAI;6,59;1046;15862
350040 AGUAS DA PRATA;6,49;254;3914
350050 AGUAS DE LINDOIA;3,59;317;8827
350055 AGUAS DE SANTA BARBARA;2,87;76;2644
350060 AGUAS DE SAO PEDRO;7,08;97;1370
350070 AGUDOS;7,36;1288;17503
350075 ALAMBARI;8,59;196;2281
350080 ALFREDO MARCONDES;7,3;137;1876
350090 ALTAIR;5,23;95;1816
350100 ALTINOPOLIS;4,47;362;8099
350110 ALTO ALEGRE;5,1;109;2139
350115 ALUMINIO;11,11;879;7909
350120 ALVARES FLORENCE;5,02;94;1873
350130 ALVARES MACHADO;6,62;793;11979
350140 ALVARO DE CARVALHO;7,19;112;1558
350150 ALVINLANDIA;6,32;88;1392
350160 AMERICANA;5,2;6117;117668
350170 AMERICO BRASILIENSE;10,85;1978;18236
350180 AMERICO DE CAMPOS;3,49;99;2840
350190 AMPARO;5,16;1909;37030
350200 ANALANDIA;7,65;178;2326
350210 ANDRADINA;6,5;1818;27954
350220 ANGATUBA;4,85;526;10847
350230 ANHEMBI;4,06;101;2488
350240 ANHUMAS;3,51;63;1795
350250 APARECIDA;5,13;960;18702
350260 APARECIDA D'OESTE;3,23;62;1921
350270 APIAI;7,62;825;10821
350275 ARACARIGUAMA;7,52;648;8617
350280 ARACATUBA;5,85;5569;95194
350290 ARACOIABA DA SERRA;6,93;933;13456
350300 ARAMINA;5,4;134;2482
350310 ARANDU;2,48;73;2940
350315 ARAPEI;6,45;69;1069
350320 ARARAQUARA;6,97;7903;113453
350330 ARARAS;7,29;4537;62270
350335 ARCO-IRIS;6,54;63;964
350340 AREALVA;3,77;155;4116
350350 AREIAS;6,81;107;1571
350360 AREIOPOLIS;6,98;375;5374
350370 ARIRANHA;5,73;254;4429
350380 ARTUR NOGUEIRA;6,94;1712;24668
350390 ARUJA;9,29;3415;36772
350395 ASPASIA;6,02;55;914
350400 ASSIS;6,52;3209;49212
350410 ATIBAIA;5;3274;65454
350420 AURIFLAMA;4,09;325;7950
350430 AVAI;7,24;161;2224
350440 AVANHANDAVA;8,39;380;4528
350450 AVARE;4,5;1894;42086
350460 BADY BASSITT;3,87;318;8215
350470 BALBINOS;10,37;76;733
350480 BALSAMO;1,89;82;4342
350490 BANANAL;6,42;314;4890
350500 BARAO DE ANTONINA;2,92;44;1508
350510 BARBOSA;7,21;204;2829
350520 BARIRI;3,5;568;16249
350530 BARRA BONITA;5,52;1063;19274
350535 BARRA DO CHAPEU;5,44;121;2223
350540 BARRA DO TURVO;3,61;106;2937
350550 BARRETOS;5,84;3485;59660
350560 BARRINHA;7,24;1043;14409
350570 BARUERI;9,01;11196;124306
350580 BASTOS;6,57;693;10546
350590 BATATAIS;5,37;1564;29103
350600 BAURU;5,87;10654;181505
350610 BEBEDOURO;7,3;2939;40256
350620 BENTO DE ABREU;13,98;199;1423
350630 BERNARDINO DE CAMPOS;5,05;266;5267
350635 BERTIOGA;6,99;1725;24673
350640 BILAC;3,56;144;4044
350650 BIRIGUI;3,52;2151;61107
350660 BIRITIBA-MIRIM;7,6;1065;14017
350670 BOA ESPERANCA DO SUL;6,02;416;6906
350680 BOCAINA;3,47;212;6102
350690 BOFETE;4,9;228;4657
350700 BOITUVA;8,13;2109;25928
350710 BOM JESUS DOS PERDOES;4,8;440;9163
350715 BOM SUCESSO DE ITARARE;11,05;170;1538
350720 BORA;2,32;10;431
350730 BORACEIA;5,34;123;2302
350740 BORBOREMA;4,2;330;7858
350745 BOREBI;7,9;88;1114
350750 BOTUCATU;6,89;4425;64266
350760 BRAGANCA PAULISTA;5,88;4480;76199
350770 BRAUNA;3,89;100;2572
350775 BREJO ALEGRE;5,81;77;1325
350780 BRODOWSKI;1,84;207;11270
350790 BROTAS;5,9;667;11312
350800 BURI;4,52;329;7272
350810 BURITAMA;6,86;546;7960
350820 BURITIZAL;4,5;94;2090
350830 CABRALIA PAULISTA;3,21;67;2087
350840 CABREUVA;7,89;1725;21865
350850 CACAPAVA;8,41;3390;40315
350860 CACHOEIRA PAULISTA;8,93;1245;13946
350870 CACONDE;6;561;9351
350880 CAFELANDIA;6,42;518;8071
350890 CAIABU;7,42;136;1832
350900 CAIEIRAS;9,28;4248;45796
350910 CAIUA;6,04;116;1920
350920 CAJAMAR;8,54;2598;30407
350925 CAJATI;10,52;1234;11728
350930 CAJOBI;5;263;5258
350940 CAJURU;4,3;502;11679
350945 CAMPINA DO MONTE ALEGRE;9,32;229;2457
350950 CAMPINAS;6,26;35921;573629
350960 CAMPO LIMPO PAULISTA;9,19;3570;38837
350970 CAMPOS DO JORDAO;3,84;985;25632
350980 CAMPOS NOVOS PAULISTA;5,01;100;1998
350990 CANANEIA;5,12;276;5394
350995 CANAS;11,88;239;2011
351000 CANDIDO MOTA;6,58;907;13783
351010 CANDIDO RODRIGUES;2,11;29;1377
351015 CANITAR;7,05;139;1973
351020 CAPAO BONITO;7,89;1702;21561
351030 CAPELA DO ALTO;6,37;527;8272
351040 CAPIVARI;5,4;1356;25091
351050 CARAGUATATUBA;7,14;3561;49853
351060 CARAPICUIBA;8,98;16078;179104
351070 CARDOSO;5,52;298;5398
351080 CASA BRANCA;6,51;790;12126
351090 CASSIA DOS COQUEIROS;3,79;55;1450
351100 CASTILHO;7,15;583;8158
351110 CATANDUVA;4,77;2881;60345
351120 CATIGUA;3,74;130;3479
351130 CEDRAL;4,34;180;4145
351140 CERQUEIRA CESAR;5,09;423;8318
351150 CERQUILHO;4,4;990;22511
