Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
250070 SAO JOAO DO RIO DO PEIXE;6,74;487;7225
250073 AMPARO;9,83;99;1007
250077 APARECIDA;8,66;222;2563
250080 ARACAGI;5,32;309;5810
250090 ARARA;4,2;203;4832
250100 ARARUNA;5,88;426;7251
250110 AREIA;6,66;625;9390
250115 AREIA DE BARAUNAS;6,21;45;725
250120 AREIAL;5,49;171;3113
250130 AROEIRAS;5,78;390;6747
250135 ASSUNCAO;7,72;116;1503
250140 BAIA DA TRAICAO;9,38;331;3530
250150 BANANEIRAS;6,16;454;7372
250153 BARAUNA;6,83;73;1069
250157 BARRA DE SANTANA;5,57;168;3016
250160 BARRA DE SANTA ROSA;4,73;252;5330
250170 BARRA DE SAO MIGUEL;0,8;18;2243
250180 BAYEUX;11,71;4926;42070
250190 BELEM;8,2;478;5831
250200 BELEM DO BREJO DO CRUZ;8,73;204;2338
250205 BERNARDINO BATISTA;5,43;49;902
250210 BOA VENTURA;7,08;179;2527
250215 BOA VISTA;5,16;139;2695
250220 BOM JESUS;12,85;124;965
250230 BOM SUCESSO;4,46;80;1795
250240 BONITO DE SANTA FE;4,17;173;4150
250250 BOQUEIRAO;5,83;475;8152
250260 IGARACY;5,56;125;2248
250270 BORBOREMA;5,69;99;1740
250280 BREJO DO CRUZ;6,94;378;5445
250290 BREJO DOS SANTOS;19,79;395;1996
250300 CAAPORA;12,24;926;7566
250310 CABACEIRAS;7;141;2014
250320 CABEDELO;11,46;2981;26007
250330 CACHOEIRA DOS INDIOS;8,61;311;3614
250340 CACIMBA DE AREIA;3,73;50;1339
250350 CACIMBA DE DENTRO;6,89;433;6284
250355 CACIMBAS;7,9;191;2417
250360 CAICARA;7,9;239;3027
250370 CAJAZEIRAS;6,28;1646;26223
250375 CAJAZEIRINHAS;1,62;12;739
250380 CALDAS BRANDAO;9,18;181;1971
250390 CAMALAU;6,18;162;2622
250400 CAMPINA GRANDE;10,7;18878;176445
250403 CAPIM;21,23;356;1677
250407 CARAUBAS;2,52;41;1625
250410 CARRAPATEIRA;1,91;13;681
250415 CASSERENGUE;2,75;63;2294
250420 CATINGUEIRA;10,8;171;1584
