Município;1991;2000;2010;Total
351760 GUAPIARA;0,95;14,13;8,96;8,1
351770 GUARA;3,58;8,88;8,75;7,37
351780 GUARACAI;0,95;10,02;4,7;5,43
351790 GUARACI;1,14;13,9;7,13;7,83
351800 GUARANI D'OESTE;2,92;16,43;7,28;6,94
351810 GUARANTA;0,73;11,93;7,79;7,19
351820 GUARARAPES;2,9;12,95;5,94;7,49
351830 GUARAREMA;6,68;15;5,64;9,1
351840 GUARATINGUETA;5,2;15,93;8,01;9,83
351850 GUAREI;1,67;9,84;4,64;5,55
351860 GUARIBA;3,15;16,51;9,58;10,19
351870 GUARUJA;6,44;20,88;10,18;13,13
351880 GUARULHOS;6,65;21,17;9,57;12,98
351885 GUATAPARA;...;12,62;9,85;11,1
351890 GUZOLANDIA;0,3;13,58;2,83;5,39
351900 HERCULANDIA;2,24;15,31;9,03;9,4
351905 HOLAMBRA;...;5,1;2,7;3,59
351907 HORTOLANDIA;...;20,96;9,23;14,16
351910 IACANGA;0,54;12,84;6,72;7,19
351920 IACRI;1,75;14,43;5,9;7,53
351925 IARAS;...;7,11;4,84;5,6
351930 IBATE;1,31;10,72;7,98;7,35
351940 IBIRA;0,45;11,88;5,07;6,02
351950 IBIRAREMA;0,93;6,57;5,48;4,52
351960 IBITINGA;2,55;10,03;2,98;5,2
351970 IBIUNA;3;12,6;5,08;7,11
351980 ICEM;0,72;17,71;8,23;9,4
351990 IEPE;2,01;14,9;7,89;7,86
352000 IGARACU DO TIETE;1,69;11,84;7,45;7,42
352010 IGARAPAVA;5,15;13,91;7,31;9,08
352020 IGARATA;2,37;9,89;4,25;5,86
352030 IGUAPE;4,34;17,6;7,37;9,85
352040 ILHABELA;2,74;13,49;6,24;7,98
352042 ILHA COMPRIDA;...;20,28;8,97;13,53
352044 ILHA SOLTEIRA;...;15,42;4,78;9,65
352050 INDAIATUBA;4,81;14,45;5,86;8,4
352060 INDIANA;1,98;12,18;8,56;8,08
352070 INDIAPORA;-;8,56;5,57;4,72
352080 INUBIA PAULISTA;1,03;8,8;8,21;6,32
352090 IPAUSSU;0,9;7,14;6,28;5,08
352100 IPERO;3,43;18,68;8,11;10,71
352110 IPEUNA;0,73;8,51;3,79;4,78
352115 IPIGUA;...;11,26;5,04;7,74
352120 IPORANGA;3,73;14,67;6,28;8,39
352130 IPUA;0,83;16,06;8,37;8,97
352140 IRACEMAPOLIS;2,53;11,56;8,17;8,05
352150 IRAPUA;0,73;8,92;1,66;3,9
352160 IRAPURU;1,28;9,4;8,63;6,44
352170 ITABERA;1,55;11,35;6,12;6,37
352180 ITAI;2,31;14,62;7,49;8,57
352190 ITAJOBI;0,61;9,12;3,94;4,57
352200 ITAJU;1,2;7,87;3,18;4,3
352210 ITANHAEM;2,93;20,71;10,15;12,51
352215 ITAOCA;...;8,7;2,08;4,73
352220 ITAPECERICA DA SERRA;7,59;22,41;8,51;13,25
352230 ITAPETININGA;3,79;15,28;7,66;9,26
